,status,model,n_factors,n_epochs,lr_all,reg_all,result
59,True,59,80,40,0.005,0.1,"{'test_rmse': array([0.83941676, 0.83964443, 0.84008269]), 'fit_time': (81.99255967140198, 83.15474128723145, 83.67969179153442), 'test_time': (18.999303340911865, 18.781615495681763, 18.862276077270508)}"
60,True,60,80,40,0.007,0.02,"{'test_rmse': array([0.83532216, 0.83570689, 0.83656095]), 'fit_time': (81.91309213638306, 83.5730414390564, 83.18661689758301), 'test_time': (19.00311827659607, 18.82857608795166, 18.858795642852783)}"
61,True,61,80,40,0.007,0.05,"{'test_rmse': array([0.80170332, 0.80166828, 0.80210296]), 'fit_time': (81.92445158958435, 83.85717105865479, 83.42584753036499), 'test_time': (18.922889709472656, 18.903672456741333, 18.815268993377686)}"
62,True,62,80,40,0.007,0.1,"{'test_rmse': array([0.8331673 , 0.83245375, 0.83361344]), 'fit_time': (81.78425765037537, 83.3498432636261, 83.24747061729431), 'test_time': (19.013436794281006, 18.756750106811523, 18.78759241104126)}"
63,True,63,80,60,0.002,0.02,"{'test_rmse': array([0.81766121, 0.81824472, 0.81759903]), 'fit_time': (121.85988879203796, 123.13128566741943, 123.11794590950012), 'test_time': (18.897307872772217, 18.746299505233765, 18.83946943283081)}"
64,True,64,80,60,0.002,0.05,"{'test_rmse': array([0.82058598, 0.82104242, 0.82138188]), 'fit_time': (121.74612307548523, 126.29983067512512, 123.00987148284912), 'test_time': (18.890986919403076, 18.72840142250061, 18.74556589126587)}"
65,True,65,80,60,0.002,0.1,"{'test_rmse': array([0.84946655, 0.84843754, 0.84849987]), 'fit_time': (121.73185873031616, 122.89376497268677, 123.26272225379944), 'test_time': (18.91891098022461, 18.799569368362427, 18.842672109603882)}"
66,True,66,80,60,0.005,0.02,"{'test_rmse': array([0.83817173, 0.83770654, 0.83695333]), 'fit_time': (121.63398218154907, 122.95590877532959, 122.96073770523071), 'test_time': (18.879443407058716, 18.680063724517822, 18.744734287261963)}"
67,True,67,80,60,0.005,0.05,"{'test_rmse': array([0.80066891, 0.80128475, 0.8005194 ]), 'fit_time': (121.81016874313354, 122.88658547401428, 122.83384108543396), 'test_time': (18.90498161315918, 18.70272421836853, 18.83707046508789)}"
68,True,68,80,60,0.005,0.1,"{'test_rmse': array([0.82866929, 0.83027718, 0.82973942]), 'fit_time': (121.94062209129333, 123.60537481307983, 123.10718250274658), 'test_time': (18.905603885650635, 18.73529314994812, 19.099348783493042)}"
69,True,69,80,60,0.007,0.02,"{'test_rmse': array([0.84566015, 0.84525478, 0.84685453]), 'fit_time': (121.83876156806946, 123.01866292953491, 122.97404861450195), 'test_time': (18.95274066925049, 18.730644941329956, 18.896097898483276)}"
70,True,70,80,60,0.007,0.05,"{'test_rmse': array([0.80195916, 0.80131741, 0.80144643]), 'fit_time': (121.79731440544128, 122.74057722091675, 122.89278411865234), 'test_time': (18.93695330619812, 18.79965353012085, 18.73177433013916)}"
71,True,71,80,60,0.007,0.1,"{'test_rmse': array([0.82329537, 0.82304429, 0.82368428]), 'fit_time': (122.00436758995056, 122.65611481666565, 122.8004264831543), 'test_time': (18.808409452438354, 18.655440092086792, 18.583208560943604)}"
72,True,72,80,80,0.002,0.02,"{'test_rmse': array([0.82111707, 0.82157185, 0.82140334]), 'fit_time': (161.82358479499817, 162.93039560317993, 162.7998366355896), 'test_time': (20.529688596725464, 18.540669441223145, 20.12992572784424)}"
73,True,73,80,80,0.002,0.05,"{'test_rmse': array([0.81016071, 0.80979064, 0.81027657]), 'fit_time': (161.83590459823608, 163.27127766609192, 163.34370875358582), 'test_time': (20.398155212402344, 20.346015691757202, 18.501474618911743)}"
74,True,74,80,80,0.002,0.1,"{'test_rmse': array([0.84240331, 0.84316907, 0.84320604]), 'fit_time': (162.23420357704163, 163.10536003112793, 163.16209483146667), 'test_time': (21.2176833152771, 18.467092037200928, 20.21184229850769)}"
75,True,75,80,80,0.005,0.02,"{'test_rmse': array([0.84353746, 0.84460647, 0.84349317]), 'fit_time': (162.18354201316833, 164.0530562400818, 164.0253870487213), 'test_time': (20.636025190353394, 18.744913339614868, 20.224822998046875)}"
76,True,76,80,80,0.005,0.05,"{'test_rmse': array([0.80088887, 0.80107599, 0.80074594]), 'fit_time': (161.90718245506287, 163.5896933078766, 163.5126338005066), 'test_time': (21.55925703048706, 18.920509338378906, 18.815984964370728)}"
77,True,77,80,80,0.005,0.1,"{'test_rmse': array([0.82309173, 0.82447312, 0.82323394]), 'fit_time': (162.0911741256714, 162.92096424102783, 163.32791900634766), 'test_time': (19.73167395591736, 19.359848499298096, 19.50152325630188)}"
78,True,78,80,80,0.007,0.02,"{'test_rmse': array([0.85135541, 0.85103319, 0.85053758]), 'fit_time': (161.37773609161377, 163.47992968559265, 163.26711344718933), 'test_time': (19.792460203170776, 18.39289927482605, 20.318973064422607)}"
79,True,79,80,80,0.007,0.05,"{'test_rmse': array([0.80237325, 0.80239941, 0.80327891]), 'fit_time': (162.11142492294312, 163.3980360031128, 163.13703227043152), 'test_time': (20.650766134262085, 18.59482741355896, 20.451241731643677)}"
80,True,80,80,80,0.007,0.1,"{'test_rmse': array([0.8193822, 0.8181073, 0.8198505]), 'fit_time': (161.9873514175415, 163.03368163108826, 165.89945030212402), 'test_time': (18.9666268825531, 20.2684006690979, 21.79893946647644)}"
